Please close the window before you leave the room.	Lütfen odadan çıkmadan önce pencereyi kapatın.
The results of the measurements were written in the notebook.	Ölçümlerin sonuçları deftere yazıldı.
The village where my father was born is on the other side of the mountain.	Babamın doğduğu köy dağın diğer tarafında.
We are trying to understand how these systems make their decisions.	Bu sistemlerin kararlarını nasıl verdiğini anlamaya çalışıyoruz.
The lecture will begin at nine o'clock in the morning.	Ders sabah dokuzda başlayacak.
The pictures drawn by the children were hung on the wall.	Çocukların çizdiği resimler duvara asıldı.
Nobody knew what would happen after the meeting ended.	Toplantı bittikten sonra ne olacağını kimse bilmiyordu.
The food cooked by my mother tastes better than anything else.	Annemin pişirdiği yemek her şeyden daha lezzetli.
The scientists who discovered this effect received an award.	Bu etkiyi keşfeden bilim insanları bir ödül aldılar.
It is necessary to read the instructions before starting the experiment.	Deneye başlamadan önce yönergeleri okumak gerekiyor.
The keys I was looking for were in my coat pocket all along.	Aradığım anahtarlar baştan beri ceketimin cebindeymiş.
Students who cannot attend the lecture should inform the assistant.	Derse katılamayan öğrenciler asistana haber vermelidir.
The temperature dropped so quickly that the lake froze overnight.	Sıcaklık o kadar hızlı düştü ki göl bir gecede dondu.
We discussed the questions that had come up during the reading.	Okuma sırasında ortaya çıkan soruları tartıştık.
This building was designed by an architect from our own city.	Bu bina kendi şehrimizden bir mimar tarafından tasarlandı.
The equipment we ordered has not arrived at the laboratory yet.	Sipariş ettiğimiz ekipman henüz laboratuvara ulaşmadı.
The song that was playing reminded me of my childhood.	Çalan şarkı bana çocukluğumu hatırlattı.
Everything that was said at the meeting was written down carefully.	Toplantıda söylenen her şey dikkatle yazıldı.
The path leading to the top of the hill is closed in winter.	Tepenin zirvesine çıkan patika kışın kapalı.
I am grateful to those who read the earlier version of this text.	Bu metnin önceki hâlini okuyanlara minnettarım.
The machine that we repaired last month broke down again.	Geçen ay tamir ettiğimiz makine yine bozuldu.
We should compare our results with the ones published previously.	Sonuçlarımızı daha önce yayımlananlarla karşılaştırmalıyız.
The letter arrived three weeks after it had been posted.	Mektup postalandıktan üç hafta sonra ulaştı.
The children playing in the street did not notice the car.	Sokakta oynayan çocuklar arabayı fark etmediler.
This approach differs from the previous one in three important ways.	Bu yaklaşım öncekinden üç önemli açıdan farklıdır.
The teacher explained the difference between these two concepts.	Öğretmen bu iki kavram arasındaki farkı açıkladı.
Please write down the numbers you measured during the experiment.	Lütfen deney sırasında ölçtüğünüz sayıları yazın.
The window in the kitchen has been broken since last winter.	Mutfaktaki pencere geçen kıştan beri kırık.
Nobody expected the experiment to succeed on the first attempt.	Kimse deneyin ilk denemede başaracağını beklemiyordu.
We are looking for a solution that works for every case.	Her durumda işe yarayan bir çözüm arıyoruz.
The map showing the location of the building is on the website.	Binanın yerini gösteren harita internet sitesinde.
The people waiting outside were invited into the hall.	Dışarıda bekleyenler salona davet edildi.
He could not remember where he had left his notebook.	Defterini nerede bıraktığını hatırlayamadı.
The measurements taken at night were more accurate than the others.	Gece alınan ölçümler diğerlerinden daha doğruydu.
This is the most interesting question that anyone has asked today.	Bu bugün sorulan en ilginç soru.
The flowers that we planted in spring have already bloomed.	İlkbaharda diktiğimiz çiçekler çoktan açtı.
We must finish this work before the end of the month.	Bu işi ay sonundan önce bitirmeliyiz.
The information given in the table contradicts the text.	Tabloda verilen bilgi metinle çelişiyor.
The old man sitting by the window was reading a newspaper.	Pencerenin yanında oturan yaşlı adam gazete okuyordu.
Our group has been working on this problem for two years.	Grubumuz iki yıldır bu problem üzerinde çalışıyor.
The class was cancelled because the instructor was ill.	Öğretim üyesi hasta olduğu için ders iptal edildi.
Everyone agreed that the presentation had been very clear.	Herkes sunumun çok açık olduğu konusunda hemfikirdi.
The tools needed for this task are kept in the cupboard.	Bu iş için gereken aletler dolapta duruyor.
She wrote her answers without looking at her notes.	Cevaplarını notlarına bakmadan yazdı.
The results we are reporting here can be reproduced easily.	Burada bildirdiğimiz sonuçlar kolayca tekrarlanabilir.
The city where the conference will be held is by the sea.	Konferansın yapılacağı şehir deniz kenarında.
I did not understand the last part of the explanation.	Açıklamanın son kısmını anlamadım.
The documents that were sent yesterday must be signed today.	Dün gönderilen belgeler bugün imzalanmalı.
Those who arrive late will not be allowed into the examination.	Geç gelenler sınava alınmayacak.
The difference between the two measurements was very small.	İki ölçüm arasındaki fark çok küçüktü.
We are planning to repeat the experiment with different settings.	Deneyi farklı ayarlarla tekrarlamayı planlıyoruz.
